"Type","TG3ID","TherapeuticGrp3","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","70701","ACE Inhibitors","Wairarapa",2022,"18441","5003",100
"Initial dispensings","70701","ACE Inhibitors","West Coast",2022,"13270","3688",100
"Initial dispensings","70701","ACE Inhibitors","South Canterbury",2022,"22610","6242",100
"Initial dispensings","70701","ACE Inhibitors","New Zealand",2022,"1334408","368883",100
"Initial dispensings","70701","ACE Inhibitors","South Canterbury",2023,"19809","5445",100
"Initial dispensings","70701","ACE Inhibitors","Waitemata",2023,"130386","36116",100
"Initial dispensings","70701","ACE Inhibitors","Whanganui",2023,"21742","5932",100
"Initial dispensings","70701","ACE Inhibitors","West Coast",2023,"13171","3575",100
"Initial dispensings","70701","ACE Inhibitors","Southern",2023,"78947","22261",100
"Initial dispensings","70701","ACE Inhibitors","Counties Manukau",2023,"127076","36658",100
"Initial dispensings","70701","ACE Inhibitors","Northland",2023,"52918","15126",100
"Initial dispensings","70701","ACE Inhibitors","MidCentral",2023,"62655","16492",100
"Initial dispensings","70701","ACE Inhibitors","Taranaki",2023,"37883","10101",100
"Initial dispensings","70701","ACE Inhibitors","Hawke's Bay",2023,"44462","12116",100
"Initial dispensings","70701","ACE Inhibitors","Hutt Valley",2023,"41652","11189",100
"Initial dispensings","70701","ACE Inhibitors","Canterbury",2023,"156347","42559",100
"Initial dispensings","70701","ACE Inhibitors","Waikato",2023,"123287","33301",100
"Initial dispensings","70701","ACE Inhibitors","Capital & Coast",2023,"66553","18273",100
"Initial dispensings","70701","ACE Inhibitors","Lakes",2023,"27577","7990",100
"Initial dispensings","70701","ACE Inhibitors","Bay of Plenty",2023,"70079","19127",100
"Initial dispensings","70701","ACE Inhibitors","Wairarapa",2023,"17914","4861",100
"Initial dispensings","70701","ACE Inhibitors","Nelson Marlborough",2023,"50764","13491",100
"Initial dispensings","70701","ACE Inhibitors","Auckland",2023,"83566","23853",100
"Initial dispensings","70701","ACE Inhibitors","Tairawhiti",2023,"13196","3593",100
"Initial dispensings","70701","ACE Inhibitors","New Zealand",2023,"1239984","342059",100
"Initial dispensings","70701","ACE Inhibitors","MidCentral",2024,"61757","15865",100
"Initial dispensings","70701","ACE Inhibitors","Waitemata",2024,"120602","31943",100
"Initial dispensings","70701","ACE Inhibitors","Hutt Valley",2024,"40946","10767",100
"Initial dispensings","70701","ACE Inhibitors","Waikato",2024,"117100","31100",100
"Initial dispensings","70701","ACE Inhibitors","Counties Manukau",2024,"119062","33251",100
"Initial dispensings","70701","ACE Inhibitors","Canterbury",2024,"152796","40353",100
"Initial dispensings","70701","ACE Inhibitors","Auckland",2024,"76448","21223",100
"Initial dispensings","70701","ACE Inhibitors","Hawke's Bay",2024,"41938","11206",100
"Initial dispensings","70701","ACE Inhibitors","Bay of Plenty",2024,"67189","17842",100
"Initial dispensings","70701","ACE Inhibitors","Whanganui",2024,"20186","5313",100
"Initial dispensings","70701","ACE Inhibitors","Nelson Marlborough",2024,"49030","12884",100
"Initial dispensings","70701","ACE Inhibitors","Southern",2024,"69664","18422",100
"Initial dispensings","70701","ACE Inhibitors","Northland",2024,"47920","13063",100
"Initial dispensings","70701","ACE Inhibitors","Capital & Coast",2024,"64379","16870",100
"Initial dispensings","70701","ACE Inhibitors","West Coast",2024,"12631","3376",100
"Initial dispensings","70701","ACE Inhibitors","Wairarapa",2024,"17996","4800",100
"Initial dispensings","70701","ACE Inhibitors","South Canterbury",2024,"18045","4709",100
