STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_POPES_SUB_002,Year at 30 June,SEX_POPES_SUB_002,Sex,AGE_POPES_SUB_002,Age,AREA_POPES_SUB_002,Area,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2021,2021,3,"Total people, sex",16,75-79 years,302,MidCentral,6580,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2020,2020,3,"Total people, sex",17,80-84 years,900,Area outside health district,5,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2024,2024,3,"Total people, sex",16,75-79 years,400,Nelson Marlborough,8310,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2022,2022,3,"Total people, sex",17,80-84 years,202,Bay of Plenty,7720,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2024,2024,3,"Total people, sex",4,65 years and over,304,Wairarapa,12100,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2021,2021,3,"Total people, sex",19,90 years and over,100,Northland,1380,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2022,2022,3,"Total people, sex",18,85-89 years,101,Waitematā,6670,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2022,2022,3,"Total people, sex",4,65 years and over,103,Counties Manukau,69100,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2024,2024,3,"Total people, sex",19,90 years and over,101,Waitematā,4260,
DATAFLOW,STATSNZ:POPES_SUB_002(1.0),"Subnational population estimates (Health regions and Health districts), by age and sex, at 30 June 1996-25 (2023 boundaries)",I,2020,2020,3,"Total people, sex",19,90 years and over,200,Waikato,2730,
