"Type","ChemID","Chemical","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2024,"38","10",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2024,"15","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2024,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Northland",2024,"33","10",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2024,"7","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2024,"15","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2024,"25","7",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2024,"9","6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2024,"12","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2024,"1164","354",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2020,"240","29",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2020,"611","72",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2020,"548","59",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2020,"353","65",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2020,"643","133",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2020,"50","6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2020,"12","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2020,"271","46",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2020,"237","30",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Southern",2020,"149","34",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2020,"172","21",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2020,"180","27",100
"Dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2020,"17","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Northland",2020,"59","15",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2020,"48","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2020,"22","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2020,"56","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2020,"57","12",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2020,"30","7",100
"Dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2020,"<6","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2020,"3756","579",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2021,"419","55",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Southern",2021,"161","35",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Northland",2021,"77","14",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2021,"219","42",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2021,"348","63",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2021,"587","73",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2021,"542","123",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2021,"66","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2021,"169","26",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2021,"137","24",100
"Dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2021,"29","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2021,"41","9",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2021,"239","13",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2021,"21","6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2021,"31","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2021,"<6","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2021,"12","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2021,"171","23",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2021,"22","6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2021,"23","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2021,"3318","531",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2022,"514","116",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2022,"135","22",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2022,"237","40",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2022,"115","19",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2022,"594","68",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2022,"317","59",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2022,"72","15",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Southern",2022,"165","36",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Northland",2022,"72","18",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2022,"15","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2022,"38","8",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2022,"431","10",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2022,"182","33",100
"Dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2022,"29","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2022,"49","10",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2022,"19","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2022,"<6","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2022,"28","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2022,"31","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2022,"18","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2022,"3066","480",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2023,"530","102",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2023,"62","12",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2023,"270","54",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2023,"491","65",100
"Dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2023,"26","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2023,"33","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Southern",2023,"159","32",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2023,"179","28",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2023,"312","10",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2023,"161","30",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Northland",2023,"72","14",100
"Dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2023,"<6","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2023,"70","13",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2023,"31","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2023,"48","10",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2023,"18","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2023,"89","13",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2023,"20","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2023,"10","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2023,"14","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2023,"2599","413",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2024,"51","12",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2024,"352","85",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Southern",2024,"159","34",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2024,"205","44",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2024,"153","23",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2024,"378","59",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2024,"133","28",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2024,"106","12",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2024,"33","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2024,"247","7",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2024,"59","11",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2024,"17","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2024,"<6","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Northland",2024,"44","11",100
"Dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2024,"20","<6",100
"Dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2024,"24","<6",100
