STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DEP_001,New Zealand index of socioeconomic deprivation,CEN23_ETH_006,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,30,Central Region,999,Total - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,938769,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,400,Nelson Marlborough,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,23412,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,403,South Canterbury,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,5325,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,99999,Total - New Zealand by health region/health district,06,6,9999,Total - ethnicity,99,Total - age,99,Total - gender,493503,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,400,Nelson Marlborough,02,2,9999,Total - ethnicity,99,Total - age,99,Total - gender,16911,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,100,Northland,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,11082,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,201,Lakes,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,6699,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,203,Tairāwhiti,777,Total stated - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,51135,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,402,Canterbury,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,65097,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,20,Te Manawa Taki,777,Total stated - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,993114,,,
